Q1,Q3,Q4,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q8_1_pre,Q8_2_pre,Q8_3_pre,Q8_4_pre,study_id,Q11,Q12_post,Q13,Q14,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,SC1,user_id,condition_task,created_at,revoked_consent,study,id,scenario,question,question_sensitivity,user_willingness,user_sensitivity,timestamp
"I consent, begin the study",Male,16 - 20,Disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Strongly Agree,Strongly Agree,Disagree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,Fake (1),2,2,2,3,Disagree,Disagree,Neither agree or disagree,Disagree,Disagree,0,R_81F0ZAOIetzLcXK,2,2025-06-01 14:34:34.073+00,False,sagar,12231caebfd3a4617441f4f2a8109c92ef0c67eeee360710f776fa8804674330,Tastes and Interests,Have you ever felt emotionally triggered by people that you strongly disagreed with socially?,High,3,High,2025-06-01 14:36:14.042+00
"I consent, begin the study",Male,16 - 20,Disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Strongly Agree,Strongly Agree,Disagree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,Fake (1),2,2,2,3,Disagree,Disagree,Neither agree or disagree,Disagree,Disagree,0,R_81F0ZAOIetzLcXK,2,2025-06-01 14:34:34.073+00,False,sagar,17f97c4464cfeb65a383ea85ffc7b7c320d645d696735577acc0be20a5df8115,Tastes and Interests,"Are there certain types of music, shows, or stories that you avoid because they affect your mood negatively?",Medium,3,Low,2025-06-01 14:36:56.872+00
"I consent, begin the study",Male,16 - 20,Disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Strongly Agree,Strongly Agree,Disagree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,Fake (1),2,2,2,3,Disagree,Disagree,Neither agree or disagree,Disagree,Disagree,0,R_81F0ZAOIetzLcXK,2,2025-06-01 14:34:34.073+00,False,sagar,35189053d12ea61aa72151ff1ef509ee72237632b0d1c4c230e306727dd39dd3,Interpersonal Relations and Self-Concept,Do you ever feel a sense of loss or longing when you think about them?,Low,2,High,2025-06-01 14:37:26.452+00
"I consent, begin the study",Male,16 - 20,Disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Strongly Agree,Strongly Agree,Disagree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,Fake (1),2,2,2,3,Disagree,Disagree,Neither agree or disagree,Disagree,Disagree,0,R_81F0ZAOIetzLcXK,2,2025-06-01 14:34:34.073+00,False,sagar,709154c3ef5978702c19e84d9c7b188dcefb83d52678c8c413a2f8f9a89f6a32,Interpersonal Relations and Self-Concept,Have past experiences in relationships ever left you feeling emotionally hurt or let down?,High,1,High,2025-06-01 14:37:42.553+00
"I consent, begin the study",Male,16 - 20,Disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Strongly Agree,Strongly Agree,Disagree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,Fake (1),2,2,2,3,Disagree,Disagree,Neither agree or disagree,Disagree,Disagree,0,R_81F0ZAOIetzLcXK,2,2025-06-01 14:34:34.073+00,False,sagar,7f8ce0ed51801420e1d9a8dff0106eabf895389e706b27880b8f4605eb37fdbd,Interpersonal Relations and Self-Concept,What is something you've done recently that made you feel genuinely proud or emotionally fulfilled?,Medium,3,Medium,2025-06-01 14:38:19.832+00
"I consent, begin the study",Male,16 - 20,Disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Strongly Agree,Strongly Agree,Disagree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,Fake (1),2,2,2,3,Disagree,Disagree,Neither agree or disagree,Disagree,Disagree,0,R_81F0ZAOIetzLcXK,2,2025-06-01 14:34:34.073+00,False,sagar,becb3fcbbb087b714422a092d8ff6f2900fcb37441660cf531cc7ea89ab38405,Work or Studies,What personal strengths do you draw on to stay mentally balanced in your career or studies?,Low,2,Medium,2025-06-01 14:39:04.6+00
"I consent, begin the study",Male,16 - 20,Disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Strongly Agree,Strongly Agree,Disagree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,Fake (1),2,2,2,3,Disagree,Disagree,Neither agree or disagree,Disagree,Disagree,0,R_81F0ZAOIetzLcXK,2,2025-06-01 14:34:34.073+00,False,sagar,80a4deb06b626ce255031ea9521ff42d3df79a1c73cf619e7c2897b91bcbcb78,Work or Studies,Have you been feeling any stress or mental fatigue related to your work or academic life lately?,Medium,3,Medium,2025-06-01 14:39:32.264+00
"I consent, begin the study",Male,16 - 20,Disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Strongly Agree,Strongly Agree,Disagree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,Fake (1),2,2,2,3,Disagree,Disagree,Neither agree or disagree,Disagree,Disagree,0,R_81F0ZAOIetzLcXK,2,2025-06-01 14:34:34.073+00,False,sagar,ddae67195f360cff0c7c8e1dc9f7145ca5bdc3a324351ba9677bc8d6c9bd5e1a,Work or Studies,Have you ever felt completely overwhelmed or lost when it comes to your professional or academic path?,High,1,High,2025-06-01 14:40:00.854+00
"I consent, begin the study",Female,21 - 25,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,2,2,2,2,4,Disagree,Agree,Disagree,Neither agree or disagree,Disagree,0,R_8veViY48ccytaaB,1,2025-06-01 14:46:31.457+00,False,sagar,072210fa4c51bdf34a0c1bc9f8bb1ed3b7732fb44a14360de3851f9ecb8c3b3a,Tastes and Interests,What types of social environments do you find most comforting or energizing?,Low,2,Low,2025-06-01 14:47:19.713+00
"I consent, begin the study",Female,21 - 25,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,2,2,2,2,4,Disagree,Agree,Disagree,Neither agree or disagree,Disagree,0,R_8veViY48ccytaaB,1,2025-06-01 14:46:31.457+00,False,sagar,af109f13cefd1dcffc87fe25bd44dddae0c3df53fe2e73a512a17692f32c585a,Tastes and Interests,Have you ever felt emotionally triggered by people that you strongly disagreed with socially?,High,3,Low,2025-06-01 14:47:49.569+00
"I consent, begin the study",Female,21 - 25,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,2,2,2,2,4,Disagree,Agree,Disagree,Neither agree or disagree,Disagree,0,R_8veViY48ccytaaB,1,2025-06-01 14:46:31.457+00,False,sagar,f639b357c982a2af7fda9b15b53304498b6dc308d6db00b5a0bda81b0794d547,Tastes and Interests,"Are there certain types of music, shows, or stories that you avoid because they affect your mood negatively?",Medium,3,Low,2025-06-01 14:47:58.602+00
"I consent, begin the study",Female,21 - 25,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,2,2,2,2,4,Disagree,Agree,Disagree,Neither agree or disagree,Disagree,0,R_8veViY48ccytaaB,1,2025-06-01 14:46:31.457+00,False,sagar,d848a88ff42f92049656f5600ac730d02eaee7b33d196b8a895934dbfd0dbdf2,Interpersonal Relations and Self-Concept,Do you ever feel a sense of loss or longing when you think about them?,Low,2,Medium,2025-06-01 14:48:13.208+00
"I consent, begin the study",Female,21 - 25,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,2,2,2,2,4,Disagree,Agree,Disagree,Neither agree or disagree,Disagree,0,R_8veViY48ccytaaB,1,2025-06-01 14:46:31.457+00,False,sagar,020f85ef07485db8ab5912be63a33ab71f7da9851f9fe5f12cceae38cdc5f6d8,Interpersonal Relations and Self-Concept,Have past experiences in relationships ever left you feeling emotionally hurt or let down?,High,3,Low,2025-06-01 14:48:35.722+00
"I consent, begin the study",Female,21 - 25,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,2,2,2,2,4,Disagree,Agree,Disagree,Neither agree or disagree,Disagree,0,R_8veViY48ccytaaB,1,2025-06-01 14:46:31.457+00,False,sagar,4a99d18d23c1659091501443ab2e7774f8de89136fcf4f41906a456e56ae941f,Interpersonal Relations and Self-Concept,What is something you've done recently that made you feel genuinely proud or emotionally fulfilled?,Medium,3,Low,2025-06-01 14:48:54.404+00
"I consent, begin the study",Female,21 - 25,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,2,2,2,2,4,Disagree,Agree,Disagree,Neither agree or disagree,Disagree,0,R_8veViY48ccytaaB,1,2025-06-01 14:46:31.457+00,False,sagar,cc37ee38283e344b1065ae0f243dd1f74f7bdd4a4829cb0e6bbfb892dbc356b3,Work or Studies,What personal strengths do you draw on to stay mentally balanced in your career or studies?,Low,2,Low,2025-06-01 14:49:24.389+00
"I consent, begin the study",Female,21 - 25,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,2,2,2,2,4,Disagree,Agree,Disagree,Neither agree or disagree,Disagree,0,R_8veViY48ccytaaB,1,2025-06-01 14:46:31.457+00,False,sagar,0dc222502caa1b575bf2d4fa114a996a4a44bb8a5ea9affae81846b79012f007,Work or Studies,Have you been feeling any stress or mental fatigue related to your work or academic life lately?,Medium,2,Low,2025-06-01 14:49:33.15+00
"I consent, begin the study",Female,21 - 25,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,2,2,2,2,4,Disagree,Agree,Disagree,Neither agree or disagree,Disagree,0,R_8veViY48ccytaaB,1,2025-06-01 14:46:31.457+00,False,sagar,618271d5c40e9caf33d8463d95cb81f86aaf10033d6dbe5da1d83aa4462d0f76,Work or Studies,Have you ever felt completely overwhelmed or lost when it comes to your professional or academic path?,High,3,Low,2025-06-01 14:49:48.665+00
"I consent, begin the study",Female,21 - 25,Neither agree or disagree,Agree,Agree,Agree,Neither agree or disagree,Strongly Agree,Agree,Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,3,3,3,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,0,R_8KiHYtGq8tDVWzV,2,2025-06-01 14:56:48.591+00,False,sagar,c791cc06db4fa4b693faf782eb7d5a8a38a4b935c480ade1b124f1a0e05ef4f5,Interpersonal Relations and Self-Concept,Do you ever feel a sense of loss or longing when you think about them?,Low,4,High,2025-06-01 15:01:07.065+00
"I consent, begin the study",Female,21 - 25,Neither agree or disagree,Agree,Agree,Agree,Neither agree or disagree,Strongly Agree,Agree,Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,3,3,3,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,0,R_8KiHYtGq8tDVWzV,2,2025-06-01 14:56:48.591+00,False,sagar,8887f98a6bd2521b9973f99d85cf24138db31c47a28f12aacaf6b713c770c8f5,Interpersonal Relations and Self-Concept,Have past experiences in relationships ever left you feeling emotionally hurt or let down?,High,4,High,2025-06-01 15:01:27.533+00
"I consent, begin the study",Female,21 - 25,Neither agree or disagree,Agree,Agree,Agree,Neither agree or disagree,Strongly Agree,Agree,Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,3,3,3,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,0,R_8KiHYtGq8tDVWzV,2,2025-06-01 14:56:48.591+00,False,sagar,6782f15f7c0c58e6a174d79d4e66ab442f2ce64436af0a23638a8abc312055c1,Interpersonal Relations and Self-Concept,What is something you've done recently that made you feel genuinely proud or emotionally fulfilled?,Medium,3,Low,2025-06-01 15:02:07.001+00
"I consent, begin the study",Female,21 - 25,Neither agree or disagree,Agree,Agree,Agree,Neither agree or disagree,Strongly Agree,Agree,Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,3,3,3,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,0,R_8KiHYtGq8tDVWzV,2,2025-06-01 14:56:48.591+00,False,sagar,29f39fc66871937654a2746011d4f599c5106e230b1d5296adcc873f3b9d10bd,Work or Studies,What personal strengths do you draw on to stay mentally balanced in your career or studies?,Low,3,Low,2025-06-01 15:02:41.949+00
"I consent, begin the study",Female,21 - 25,Neither agree or disagree,Agree,Agree,Agree,Neither agree or disagree,Strongly Agree,Agree,Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,3,3,3,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,0,R_8KiHYtGq8tDVWzV,2,2025-06-01 14:56:48.591+00,False,sagar,4d98593f7f59356d640e4490f3978de31a982447458d0f9867e691eceaa681b4,Work or Studies,Have you been feeling any stress or mental fatigue related to your work or academic life lately?,Medium,4,Low,2025-06-01 15:03:29.668+00
"I consent, begin the study",Female,21 - 25,Neither agree or disagree,Agree,Agree,Agree,Neither agree or disagree,Strongly Agree,Agree,Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,3,3,3,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,0,R_8KiHYtGq8tDVWzV,2,2025-06-01 14:56:48.591+00,False,sagar,604da0532dfde33bc2eb67279362883cc6a153b88b7f2de2883f7fe601ff55b5,Work or Studies,Have you ever felt completely overwhelmed or lost when it comes to your professional or academic path?,High,4,Low,2025-06-01 15:03:55.934+00
"I consent, begin the study",Female,21 - 25,Neither agree or disagree,Agree,Agree,Agree,Neither agree or disagree,Strongly Agree,Agree,Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,3,3,3,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,0,R_8KiHYtGq8tDVWzV,2,2025-06-01 14:56:48.591+00,False,sagar,f29e53c65ec7e7b83c4b92e8a1708acf118e80a57312e170fb50c008f2c51e23,Tastes and Interests,What types of social environments do you find most comforting or energizing?,Low,4,Low,2025-06-01 15:04:31.318+00
"I consent, begin the study",Female,21 - 25,Neither agree or disagree,Agree,Agree,Agree,Neither agree or disagree,Strongly Agree,Agree,Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,3,3,3,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,0,R_8KiHYtGq8tDVWzV,2,2025-06-01 14:56:48.591+00,False,sagar,cf38bc022aed25efe537149798edc1172546870182515ec0dfd9748c039b616a,Tastes and Interests,Have you ever felt emotionally triggered by people that you strongly disagreed with socially?,High,4,Medium,2025-06-01 15:05:01.152+00
"I consent, begin the study",Female,21 - 25,Neither agree or disagree,Agree,Agree,Agree,Neither agree or disagree,Strongly Agree,Agree,Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,3,3,3,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,0,R_8KiHYtGq8tDVWzV,2,2025-06-01 14:56:48.591+00,False,sagar,531fec6b15251b939d3027628bb4aa51b5abdab119b9868febf21a464a84bb23,Tastes and Interests,"Are there certain types of music, shows, or stories that you avoid because they affect your mood negatively?",Medium,4,Low,2025-06-01 15:05:33.669+00
"I consent, begin the study",Male,16 - 20,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree or disagree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,3,2,Communicating rigidly (1),Strongly disagree,Disagree,Strongly disagree,Neither agree or disagree,Disagree,0,R_2D1NhBgBxQGlAAh,1,2025-06-01 15:18:05.534+00,False,sagar,d7d4cca88581e471bae26ffa4ffe24b96b506115f489761d85abd261df88bf88,Interpersonal Relations and Self-Concept,Do you ever feel a sense of loss or longing when you think about them?,Low,3,Medium,2025-06-01 15:19:43.547+00
"I consent, begin the study",Male,16 - 20,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree or disagree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,3,2,Communicating rigidly (1),Strongly disagree,Disagree,Strongly disagree,Neither agree or disagree,Disagree,0,R_2D1NhBgBxQGlAAh,1,2025-06-01 15:18:05.534+00,False,sagar,d93c5983c14471c481f234d2f3c4c697b8dc29ef38fad89936a222317b976518,Interpersonal Relations and Self-Concept,Have past experiences in relationships ever left you feeling emotionally hurt or let down?,High,3,High,2025-06-01 15:20:03.201+00
"I consent, begin the study",Male,16 - 20,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree or disagree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,3,2,Communicating rigidly (1),Strongly disagree,Disagree,Strongly disagree,Neither agree or disagree,Disagree,0,R_2D1NhBgBxQGlAAh,1,2025-06-01 15:18:05.534+00,False,sagar,ba634831ee4f8124c8cff7a0b1f6d2b1bacc4d3f3ce78fb405b3e7fe30f6b293,Interpersonal Relations and Self-Concept,What is something you've done recently that made you feel genuinely proud or emotionally fulfilled?,Medium,3,Low,2025-06-01 15:20:22.724+00
"I consent, begin the study",Male,16 - 20,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree or disagree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,3,2,Communicating rigidly (1),Strongly disagree,Disagree,Strongly disagree,Neither agree or disagree,Disagree,0,R_2D1NhBgBxQGlAAh,1,2025-06-01 15:18:05.534+00,False,sagar,8d3667d34a04bd15be201bc4512d8c52749348b2609d3571a243a183bdcb5c33,Work or Studies,What personal strengths do you draw on to stay mentally balanced in your career or studies?,Low,4,Low,2025-06-01 15:20:51.501+00
"I consent, begin the study",Male,16 - 20,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree or disagree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,3,2,Communicating rigidly (1),Strongly disagree,Disagree,Strongly disagree,Neither agree or disagree,Disagree,0,R_2D1NhBgBxQGlAAh,1,2025-06-01 15:18:05.534+00,False,sagar,c37a03a3634d2dd5f113625b64098f11a58b7864979509f7ddcfa5b700f08e8d,Work or Studies,Have you been feeling any stress or mental fatigue related to your work or academic life lately?,Medium,3,Low,2025-06-01 15:21:39.877+00
"I consent, begin the study",Male,16 - 20,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree or disagree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,3,2,Communicating rigidly (1),Strongly disagree,Disagree,Strongly disagree,Neither agree or disagree,Disagree,0,R_2D1NhBgBxQGlAAh,1,2025-06-01 15:18:05.534+00,False,sagar,a57adc361525323ead63556a9d454f01ce338aad71d57a2dedbd4e69d1b95795,Work or Studies,Have you ever felt completely overwhelmed or lost when it comes to your professional or academic path?,High,3,Low,2025-06-01 15:21:51.636+00
"I consent, begin the study",Male,16 - 20,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree or disagree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,3,2,Communicating rigidly (1),Strongly disagree,Disagree,Strongly disagree,Neither agree or disagree,Disagree,0,R_2D1NhBgBxQGlAAh,1,2025-06-01 15:18:05.534+00,False,sagar,343ed6630520db4f5ee42accd711ff1de34a3bb664269b4b5f3e543f92bfbdf3,Tastes and Interests,What types of social environments do you find most comforting or energizing?,Low,4,Low,2025-06-01 15:22:09.194+00
"I consent, begin the study",Male,16 - 20,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree or disagree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,3,2,3,2,Communicating rigidly (1),Strongly disagree,Disagree,Strongly disagree,Neither agree or disagree,Disagree,0,R_2D1NhBgBxQGlAAh,1,2025-06-01 15:18:05.534+00,False,sagar,2647d4adf9b37215add0bfc17f48e58642b15243ec449100047c0f5c1a7ffdbb,Tastes and Interests,Have you ever felt emotionally triggered by people that you strongly disagreed with socially?,High,3,Medium,2025-06-01 15:22:35.98+00
